Key,Screen/Context,English,Urdu,Roman Urdu,Notes
workerCancelReasonTooFar,Ustaad,The location is too far,جگہ بہت دور ہے,Location bohat door hai,
workerCancelReasonNoTools,Ustaad,Required tools or parts are not available,ضروری اوزار یا پرزے دستیاب نہیں,Zaroori tools ya parts available nahi,
workerCancelReasonSchedule,Ustaad,Time or schedule issue,وقت یا شیڈول کا مسئلہ,Waqt ya schedule ka issue,
workerCancelReasonCustomer,Ustaad,Customer or site related issue,کسٹمر یا جگہ سے متعلق مسئلہ,Customer ya site se mutaliq issue,
workerCancelReasonOther,Ustaad,Other,دیگر,Deegar,
workerAttachmentsVideos,Ustaad,Videos,ویڈیوز,Videos,
workerAttachmentsVoiceNotes,Ustaad,Voice Notes,وائس نوٹس,Voice notes,
workerStatusHistory,Ustaad,Status History,اسٹیٹس کی تاریخ,Status ki history,
workerMarkAsCompleted,Ustaad,Mark as Completed,مکمل شدہ نشان زد کریں,Mukammal mark karein,
workerClientReview,Ustaad,Client Review,کلائنٹ کا ریویو,Client ka review,
workerReviewRatingOutOfFive,Ustaad,{rating}/5,{rating}/5,{rating}/5,Placeholders: {rating} | Numeric rating shown next to the stars. Stays Latin digits in every language.
workerApproximateArea,Ustaad,Approximate area: {city},تخمینی علاقہ: {city},Takhmeeni ilaqa: {city},Placeholders: {city} | City comes from the backend and is never translated.
workerApproximateAreaUnavailable,Ustaad,Approximate area not available,تخمینی علاقہ دستیاب نہیں,Takhmeeni ilaqa available nahi,
workerDistanceLabel,Ustaad,Distance: {distance},فاصلہ: {distance},Faasla: {distance},"Placeholders: {distance} | {distance} is an already-formatted distance string such as ""250 m away""."
workerExactAddressAfterHire,Ustaad,The exact address and map become visible once you are hired for this job.,اس کام کے لیے ہائر ہونے کے بعد ہی صحیح پتہ اور نقشہ نظر آئے گا۔,Is kaam ke liye hire hone ke baad hi sahi address aur map nazar aayega.,
workerRoadRouteNotConfigured,Ustaad,Road route is not configured yet. Opening Google Maps for navigation.,روڈ روٹ ابھی سیٹ نہیں ہوا۔ راستے کے لیے گوگل میپس کھولا جا رہا ہے۔,Road route abhi set nahi hua. Raaste ke liye Google Maps khola ja raha hai.,
workerLocationPermissionDenied,Ustaad,Location permission denied.,لوکیشن کی اجازت نہیں دی گئی۔,Location ki ijazat nahi di gayi.,
workerDirectionsLocationFailed,Ustaad,Unable to get your location for directions.,راستے کے لیے آپ کی لوکیشن نہیں مل سکی۔,Raaste ke liye aap ki location nahi mil saki.,
workerArrivedAtJobLocation,Ustaad,You have arrived at the job location.,آپ کام کی جگہ پہنچ گئے ہیں۔,Aap kaam ki jagah pahunch gaye hain.,
workerYourLocation,Ustaad,Your Location,آپ کی لوکیشن,Aap ki location,
workerCityLabel,Ustaad,City,شہر,Sheher,
workerClientAddress,Ustaad,Client Address,کلائنٹ کا پتہ,Client ka address,
workerPinnedJobLocation,Ustaad,Pinned Job Location,نقشے پر لگی کام کی جگہ,Map par lagi kaam ki jagah,
workerPinnedOnMap,Ustaad,Pinned on map,نقشے پر لگا ہوا,Map par laga hua,
workerGettingLocation,Ustaad,Getting location...,لوکیشن لی جا رہی ہے...,Location li ja rahi hai...,
workerDirections,Ustaad,Directions,راستہ,Raasta,
workerOpenInMaps,Ustaad,Open in Maps,میپس میں کھولیں,Maps mein kholein,
workerDirectionsActive,Ustaad,Directions active,راستہ چل رہا ہے,Raasta chal raha hai,
workerUploadFailed,Ustaad,Upload failed. Please try again.,اپ لوڈ نہیں ہو سکا۔ دوبارہ کوشش کریں۔,Upload nahi ho saka. Dobara koshish karein.,
workerCompleteHighlightedFields,Ustaad,Please complete the highlighted fields below.,براہِ کرم نیچے نشان زد خانے مکمل کریں۔,Baraye meherbani neeche nishan zad khane mukammal karein.,
workerProfileSaveFailed,Ustaad,Failed to save profile. Please try again.,پروفائل محفوظ نہیں ہو سکی۔ دوبارہ کوشش کریں۔,Profile save nahi ho saki. Dobara koshish karein.,
workerProfileSubmitted,Ustaad,Profile submitted for approval.,پروفائل منظوری کے لیے بھیج دی گئی۔,Profile manzoori ke liye bhej di gayi.,
workerCompleteAllRequired,Ustaad,Please complete all required fields before submitting.,بھیجنے سے پہلے تمام ضروری خانے مکمل کریں۔,Bhejne se pehle tamam zaroori khane mukammal karein.,
workerProfileLoadFailed,Ustaad,Failed to load profile.,پروفائل لوڈ نہیں ہو سکی۔,Profile load nahi ho saki.,
workerFullLegalName,Ustaad,Full Legal Name,مکمل قانونی نام,Mukammal qanooni naam,
workerLegalNameHint,Ustaad,As written on your CNIC,جیسا آپ کے شناختی کارڈ پر لکھا ہے,Jaisa aap ke CNIC par likha hai,
workerLegalNameRequired,Ustaad,Full legal name is required.,مکمل قانونی نام ضروری ہے۔,Mukammal qanooni naam zaroori hai.,
workerCnicNumber,Ustaad,CNIC Number,شناختی کارڈ نمبر,CNIC number,
workerCnicInvalid,Ustaad,Enter CNIC like 12345-1234567-1,شناختی کارڈ اس طرح لکھیں: 12345-1234567-1,CNIC is tarah likhein: 12345-1234567-1,
workerMainSkill,Ustaad,Main Skill,بنیادی ہنر,Buniyadi hunar,
workerMainSkillNotSelected,Ustaad,Not selected,منتخب نہیں کیا گیا,Muntakhab nahi kiya gaya,
workerChangeSkill,Ustaad,Change,تبدیل کریں,Tabdeel karein,
workerMainSkillRequired,Ustaad,Please select your main skill.,براہِ کرم اپنا بنیادی ہنر منتخب کریں۔,Baraye meherbani apna buniyadi hunar muntakhab karein.,
workerExperienceYears,Ustaad,Experience in Years,تجربہ (سالوں میں),Tajurba (saalon mein),
workerExperienceHint,Ustaad,e.g. 3,مثلاً 3,misal ke taur par 3,
workerExperienceInvalid,Ustaad,Enter a valid number of years (0 or more).,سالوں کی درست تعداد لکھیں (0 یا اس سے زیادہ)۔,Saalon ki durust tadaad likhein (0 ya us se ziyada).,
workerResidentialAddress,Ustaad,Residential Address,رہائشی پتہ,Rihaishi address,
workerResidentialAddressHint,Ustaad,"House #, street, area, city",مکان نمبر، گلی، علاقہ، شہر,"Makan number, gali, ilaqa, sheher",
workerResidentialAddressRequired,Ustaad,Residential address is required.,رہائشی پتہ ضروری ہے۔,Rihaishi address zaroori hai.,
workerIdentityDocuments,Ustaad,Identity Documents,شناختی دستاویزات,Shanakhti dastawezat,
workerCnicFront,Ustaad,CNIC Front,شناختی کارڈ کا اگلا رخ,CNIC ka agla rukh,
workerCnicBack,Ustaad,CNIC Back,شناختی کارڈ کا پچھلا رخ,CNIC ka pichla rukh,
workerLiveSelfie,Ustaad,Live Selfie,لائیو سیلفی,Live selfie,
workerDocumentRequired,Ustaad,Required,ضروری ہے,Zaroori hai,
workerAgreements,Ustaad,Agreements,معاہدے,Muahiday,
workerConfirmLegalName,Ustaad,I confirm my legal name matches my CNIC.,میں تصدیق کرتا ہوں کہ میرا قانونی نام میرے شناختی کارڈ کے مطابق ہے۔,Main tasdeeq karta hoon ke mera qanooni naam mere CNIC ke mutabiq hai.,
workerAcceptGeneralAgreement,Ustaad,I accept the General Ustaad Agreement.,میں جنرل استاد معاہدہ قبول کرتا ہوں۔,Main General Ustaad muahida qabool karta hoon.,
workerAcceptGeneralAgreementVersioned,Ustaad,I accept the General Ustaad Agreement (v{version}).,میں جنرل استاد معاہدہ (v{version}) قبول کرتا ہوں۔,Main General Ustaad muahida (v{version}) qabool karta hoon.,Placeholders: {version} | {version} is the backend agreement version and stays Latin in every language.
workerAcceptTradeAgreement,Ustaad,I accept the Trade-specific Agreement.,میں ہنر سے متعلق معاہدہ قبول کرتا ہوں۔,Main hunar se mutaliq muahida qabool karta hoon.,
workerAcceptTradeAgreementVersioned,Ustaad,I accept the Trade-specific Agreement (v{version}).,میں ہنر سے متعلق معاہدہ (v{version}) قبول کرتا ہوں۔,Main hunar se mutaliq muahida (v{version}) qabool karta hoon.,Placeholders: {version} | {version} is the backend agreement version and stays Latin in every language.
workerViewAgreement,Ustaad,View Agreement,معاہدہ دیکھیں,Muahida dekhein,
workerConfirmationRequired,Ustaad,This confirmation is required.,یہ تصدیق ضروری ہے۔,Ye tasdeeq zaroori hai.,
workerSubmitForApproval,Ustaad,Submit for Approval,منظوری کے لیے بھیجیں,Manzoori ke liye bhejein,
workerAgreementFallbackTitle,Ustaad,Agreement,معاہدہ,Muahida,
workerAgreementVersion,Ustaad,Version {version},ورژن {version},Version {version},Placeholders: {version} | {version} is the backend agreement version and stays Latin in every language.
workerAgreementSelectSkillFirst,Ustaad,Select your main skill first to load this agreement.,یہ معاہدہ دیکھنے کے لیے پہلے اپنا بنیادی ہنر منتخب کریں۔,Ye muahida dekhne ke liye pehle apna buniyadi hunar muntakhab karein.,
workerCloseDialog,Ustaad,Close,بند کریں,Band karein,
workerOnboardingSubmitted,Ustaad,Submitted for Review,جائزے کے لیے بھیج دی گئی,Jaizey ke liye bhej di gayi,
workerOnboardingChangesRequired,Ustaad,Changes Required,تبدیلیاں درکار ہیں,Tabdeeliyan darkar hain,
workerOnboardingApproved,Ustaad,Approved,منظور شدہ,Manzoor shuda,
workerOnboardingDraft,Ustaad,Draft,مسودہ,Draft,
workerRoleBadge,Ustaad,Ustaad,استاد,Ustaad,
workerMainSkillWithName,Ustaad,Main Skill: {skill},بنیادی ہنر: {skill},Buniyadi hunar: {skill},Placeholders: {skill} | {skill} is the backend category name and is never translated.
workerNoMainSkillYet,Ustaad,No main skill selected yet,ابھی کوئی بنیادی ہنر منتخب نہیں کیا گیا,Abhi koi buniyadi hunar muntakhab nahi kiya gaya,
workerProfileApproval,Ustaad,Profile Approval,پروفائل کی منظوری,Profile ki manzoori,
inspHintFallback,Uncategorised,e.g. Gas leak — a refill is needed,مثلاً گیس لیک ہے — ری فل کرانا ہو گا,Misal: gas leak hai — refill karana ho ga,Issue-example hint shown when the booking's service category has no hint of its own.
bidAmountRequired,Bidding,Please enter a bid amount.,براہِ کرم بولی کی رقم لکھیں۔,Baraye meherbani bid ki raqam likhein.,
bidAmountRange,Bidding,"Bid amount must be between 100 and 500,000.","بولی کی رقم 100 سے 500,000 کے درمیان ہونی چاہیے۔","Bid ki raqam 100 se 500,000 ke darmiyan honi chahiye.",
bidSubmitted,Bidding,Bid submitted!,بولی بھیج دی گئی!,Bid bhej di gayi!,
bidSubmitFailed,Bidding,Failed to submit bid.,بولی نہیں بھیجی جا سکی۔,Bid nahi bheji ja saki.,
workerViewJobDetails,Ustaad,View Details,تفصیل دیکھیں,Tafseel dekhein,
workerSendOffer,Ustaad,Send Offer,آفر بھیجیں,Offer bhejein,
workerChangeOffer,Ustaad,Change Offer,آفر بدلیں,Offer badlein,
workerOnboardingSubmittedBody,Ustaad,Your profile is with the admin for review.,آپ کی پروفائل ایڈمن کے جائزے میں ہے۔,Aap ki profile admin ke jaizey mein hai.,
workerOnboardingChangesRequiredBody,Ustaad,Your profile needs changes — see the details.,آپ کی پروفائل میں تبدیلی درکار ہے — تفصیل دیکھیں۔,Aap ki profile mein tabdeeli darkar hai — tafseel dekhein.,
workerOnboardingRejectedBody,Ustaad,Your profile was rejected — see the reason.,آپ کی پروفائل مسترد ہو گئی — وجہ دیکھیں۔,Aap ki profile mustarad ho gayi — wajah dekhein.,
workerProfileIncomplete,Ustaad,Profile Incomplete,پروفائل نامکمل,Profile namukammal,
inspFormLabourCostRequired,Uncategorised,Labour cost *,مزدوری کی لاگت *,Mazdoori ki laagat *,
inspFormNotesOptional,Uncategorised,Notes (optional),نوٹس (اختیاری),Notes (ikhtiyari),
inspFormPartName,Uncategorised,Part name,پرزے کا نام,Purze ka naam,
inspFormQty,Uncategorised,Qty,تعداد,Tadaad,
inspFormUnitPrice,Uncategorised,Unit price,فی عدد قیمت,Fi adad qeemat,
inspFormWarrantyOptional,Uncategorised,Warranty / guarantee (optional),وارنٹی / گارنٹی (اختیاری),Warranty / guarantee (ikhtiyari),
inspFormPartsTotal,Uncategorised,Parts total,پرزوں کی کل رقم,Purzon ki kul raqam,
inspFormLabour,Uncategorised,Labour,مزدوری,Mazdoori,
inspFormMicPermanentlyDenied,Uncategorised,Microphone access is permanently denied. Enable it in Settings.,مائیکروفون کی اجازت مستقل بند ہے۔ اسے سیٹنگز میں آن کریں۔,Microphone ki ijazat mustaqil band hai. Ise Settings mein on karein.,
inspFormMicDenied,Uncategorised,Microphone permission denied.,مائیکروفون کی اجازت نہیں دی گئی۔,Microphone ki ijazat nahi di gayi.,
errorTimeout,Core / Errors,The connection timed out. Please try again.,کنکشن کا وقت ختم ہو گیا۔ دوبارہ کوشش کریں۔,Connection ka waqt khatam ho gaya. Dobara koshish karein.,Request timed out (Dio connect/send/receive timeout)
errorRequestCancelled,Core / Errors,The request was cancelled.,درخواست منسوخ کر دی گئی۔,Request cancel kar di gayi.,The app cancelled an in-flight request
errorInvalidRequest,Core / Errors,Some details are not correct. Please check them and try again.,کچھ تفصیلات درست نہیں ہیں۔ انہیں دیکھ کر دوبارہ کوشش کریں۔,Kuch tafseelat theek nahi hain. Inhein check kar ke dobara koshish karein.,HTTP 400 with no message from the backend
errorSessionExpired,Core / Errors,Your session has expired. Please log in again.,آپ کا سیشن ختم ہو گیا ہے۔ دوبارہ لاگ اِن کریں۔,Aap ka session khatam ho gaya hai. Dobara login karein.,HTTP 401 - the refresh token is gone too
errorForbidden,Core / Errors,You do not have permission for this action.,آپ کو اس کام کی اجازت نہیں ہے۔,Aap ko is kaam ki ijazat nahi hai.,HTTP 403
errorNotFound,Core / Errors,This is no longer available.,یہ اب دستیاب نہیں ہے۔,Yeh ab available nahi hai.,HTTP 404 - the booking/bid/profile is gone
errorConflict,Core / Errors,This has already been updated. Please refresh and try again.,یہ پہلے ہی اپ ڈیٹ ہو چکا ہے۔ ریفریش کر کے دوبارہ کوشش کریں۔,Yeh pehle hi update ho chuka hai. Refresh kar ke dobara koshish karein.,HTTP 409 with no message from the backend
errorTooManyRequests,Core / Errors,Too many attempts. Please wait a moment and try again.,بہت زیادہ کوششیں ہو گئی ہیں۔ تھوڑی دیر بعد دوبارہ کوشش کریں۔,Bohot zyada koshishein ho gayi hain. Thori dair baad dobara koshish karein.,HTTP 429 - rate limited
errorServer,Core / Errors,Server error. Please try again later.,سرور میں مسئلہ ہے۔ کچھ دیر بعد دوبارہ کوشش کریں۔,Server mein masla hai. Kuch dair baad dobara koshish karein.,HTTP 5xx
errorSmsSendFailed,Core / Errors,The SMS could not be sent. Please try again.,ایس ایم ایس نہیں بھیجا جا سکا۔ دوبارہ کوشش کریں۔,SMS bhejne mein masla hua. Dobara koshish karein.,Backend SMS provider could not deliver the OTP
errorInspectorBusy,Core / Errors,The inspecting Ustaad is busy on another job right now. Please choose another Ustaad from the list below.,معائنہ کرنے والا استاد ابھی دوسرے کام میں مصروف ہے۔ نیچے سے کوئی اور استاد منتخب کریں۔,Inspection karne wala Ustaad abhi doosre kaam mein masroof hai. Neeche se koi aur Ustaad choose karein.,Backend code INSPECTOR_BUSY on a rehire attempt
errorPhoneIsWorker,Core / Errors,This mobile number is already registered as an Ustaad account.,یہ موبائل نمبر پہلے سے استاد اکاؤنٹ کے ساتھ رجسٹرڈ ہے۔,Ye mobile number Ustaad account ke saath registered hai.,Backend code PHONE_IS_WORKER
errorPhoneIsClient,Core / Errors,This mobile number is already registered as a Client account.,یہ موبائل نمبر پہلے سے کلائنٹ اکاؤنٹ کے ساتھ رجسٹرڈ ہے۔,Ye number Client account ke saath registered hai.,Backend code PHONE_IS_CLIENT
errorUnknown,Core / Errors,Something went wrong. Please try again.,کچھ گڑبڑ ہو گئی۔ دوبارہ کوشش کریں۔,Kuch masla ho gaya. Dobara koshish karein.,Last-resort wording when nothing more specific is known
authForgotPasswordTitle,Authentication,"Forgot your
password?","پاس ورڈ بھول
گئے؟","Password bhool
gaye?","Forgot-password screen, step 1 heading"
authSetNewPasswordTitle,Authentication,"Set a new
password","نیا پاس ورڈ
سیٹ کریں","Naya password
set karein","Forgot-password screen, step 2 heading"
authEnterCodeSentToNumber,Authentication,Enter the code sent to your number.,اپنے نمبر پر بھیجا گیا کوڈ درج کریں۔,Apne number par bheja gaya code darj karein.,"Forgot-password screen, step 2 subtitle"
authForgotPasswordClientOnly,Authentication,For Client accounts only. A code will be sent to the registered number.,صرف کلائنٹ اکاؤنٹ کے لیے۔ رجسٹرڈ نمبر پر کوڈ بھیجا جائے گا۔,Sirf Client account ke liye. Registered number par code bheja jayega.,Client forgot-password screen subtitle
authForgotPasswordWorkerOnly,Authentication,For Ustaad accounts only. A code will be sent to the registered number.,صرف استاد اکاؤنٹ کے لیے۔ رجسٹرڈ نمبر پر کوڈ بھیجا جائے گا۔,Sirf Ustaad account ke liye. Registered number par code bheja jayega.,Ustaad forgot-password screen subtitle
authErrorCodeSendFailed,Authentication,The code could not be sent.,کوڈ نہیں بھیجا جا سکا۔,Code bhejne mein masla hua.,Snackbar when an OTP request fails
authErrorPasswordChangeFailed,Authentication,The password could not be changed.,پاس ورڈ تبدیل نہیں ہو سکا۔,Password badal nahi saka.,Snackbar when a password reset fails
authErrorLoginFailed,Authentication,Could not log you in.,لاگ اِن نہیں ہو سکا۔,Login nahi ho saka.,Snackbar when a login attempt fails
authErrorRegisterFailed,Authentication,The account could not be created.,اکاؤنٹ نہیں بن سکا۔,Account nahi ban saka.,Snackbar when Ustaad registration fails
authLoginWithOtp,Authentication,Log In With OTP,او ٹی پی سے لاگ اِن کریں,OTP se login karein,Ustaad login button once the code has been sent
authHintExampleFullName,Authentication,Muhammad Ali Khan,محمد علی خان,Muhammad Ali Khan,Example name shown as the full-name field hint
notificationsBannerFallbackTitle,Notifications,Notification,اطلاع,Notification,In-app banner title when the payload carries none
legalEnglishOnlyNotice,Legal,This legal document is currently available in English only.,یہ قانونی دستاویز فی الحال صرف انگریزی میں دستیاب ہے۔,Yeh qanooni document filhal sirf English mein available hai.,"Shown above the Privacy Policy and Terms bodies, which are approved in English only"
myBookingsTotalCount,Uncategorised,{count} total,کل {count},Kul {count},Placeholders: {count} | Pill above the bookings list showing how many there are
workerBidJobFallbackTitle,Ustaad,Job,کام,Kaam,Heading on the bid screen when the job title was not passed through
